size,itemset,support,
1,0.04772234273318872,[Firestone Walker Brewing Company=Easy Jack],
1,0.027114967462039046,[Firestone Walker Brewing Company=Opal],
1,0.026030368763557483,[Firestone Walker Brewing Company=Pivo Pils],
1,0.04121475054229935,[Dogfish Head Craft Brewery=90 Minute IPA],
1,0.04772234273318872,[Lagunitas Brewing Company=IPA],
1,0.031453362255965296,[Bear Republic Brewing Co.=Racer 5 IPA®],
1,0.033622559652928416,[21st Amendment Brewery=Hell or High Watermelon],
1,0.04880694143167028,[Figueroa Mountain Brewing Co.=Lizard's Mouth],
1,0.06399132321041215,[Firestone Walker Brewing Company=805 Blonde],
1,0.03579175704989154,[Stone Brewing Co.=Stone IPA],
1,0.02928416485900217,[New Belgium Brewing Company=Fat Tire],
1,0.03470715835140998,[Arrogant Bastard Brewing Co.=Arrogant Bastard Ale],
1,0.04880694143167028,[Firestone Walker Brewing Company=DBA (Double Barrel Ale)],
1,0.0368763557483731,[Sierra Nevada Brewing Co.=Pale Ale],
1,0.03796095444685466,[Russian River Brewing Company=Pliny the Elder],
1,0.031453362255965296,[Firestone Walker Brewing Company=Union Jack IPA],
1,0.026030368763557483,[Modern Times Beer=Black House],
1,0.026030368763557483,[Goose Island Beer Co.=Goose IPA],
1,0.02928416485900217,[Ballast Point Brewing & Spirits=Victory at Sea],
1,0.02928416485900217,[Deschutes Brewery=Fresh Squeezed IPA],
1,0.026030368763557483,[Grupo Modelo S.A. de C.V.=Negra Modelo],
1,0.04229934924078091,[Belching Beaver=Peanut Butter Milk Stout],
1,0.0455531453362256,[Ballast Point Brewing & Spirits=Grapefruit Sculpin],
1,0.03036876355748373,[Firestone Walker Brewing Company=Velvet Merlin],
1,0.027114967462039046,[Guinness=Guinness Draught],
1,0.04229934924078091,[Ballast Point Brewing & Spirits=Sculpin IPA],
1,0.03253796095444685,[Boston Beer Company (Samuel Adams)=Samuel Adams OctoberFest],
1,0.027114967462039046,[Stone Brewing Co.=Stone Cali-Belgique IPA],
1,0.03036876355748373,[Sapporo Breweries=Sapporo Premium Beer],
1,0.027114967462039046,[21st Amendment Brewery=Back in Black],
1,0.027114967462039046,[Lagunitas Brewing Company=A Little Sumpin' Sumpin' Ale],
1,0.027114967462039046,[Stella Artois=Stella Artois],
1,0.026030368763557483,[Big Sky Brewing Company=Moose Drool Brown Ale],
1,0.03579175704989154,[Deschutes Brewery=Black Butte Porter],
1,0.026030368763557483,[Figueroa Mountain Brewing Co.=Hoppy Poppy IPA],
1,0.02928416485900217,[Firestone Walker Brewing Company=Pale 31],
1,0.028199566160520606,[Deschutes Brewery=Mirror Pond Pale Ale],
1,0.031453362255965296,[Anheuser-Busch=Bud Light],
1,0.033622559652928416,[Coors Brewing Company=Coors Light],
1,0.03036876355748373,[Firestone Walker Brewing Company=Wookey Jack],
1,0.026030368763557483,[Grupo Modelo S.A. de C.V.=Modelo Especial],
1,0.027114967462039046,[Shock Top Brewing Co.=Belgian White],
1,0.026030368763557483,[North Coast Brewing Company=Old Rasputin],
1,0.026030368763557483,[BarrelHouse Brewing Co=Sunny Daze - Clementine Blonde Ale],
